万里归途
平凡英雄
钢铁意志
我是霸王龙
还是觉得你最好
哥，你好
妈妈！
海的尽头是草原
新神榜：杨戬
新灰姑娘2
新大头儿子和小头爸爸5：我的外星朋友
世间有她
狼群
我和我的祖国
山海经之再见怪兽
独行月球
我要和你在一起
明日战记
流浪地球
我世界里的你
红海行动
追光万里
我和我的家乡
追光
中国机长
致命记忆之花开双生
夺冠
猪猪侠大电影·海洋日记
触摸星空
大熊雨林
南太平洋之旅
红光
搜救
我的遗憾和你有关
绑架游戏
龙马精神
保你平安
透明侠侣
绝望主夫
